,station_name,latitude,longitude
0,KAKI BUKIT MRT STATION,1.33492189034272,103.909146276263
1,BEDOK RESERVOIR MRT STATION,1.33655490332863,103.933487189855
2,BENCOOLEN MRT STATION,1.29769911765443,103.849271703873
3,BENCOOLEN MRT STATION,1.29919519603019,103.850843384717
4,KAKI BUKIT MRT STATION,1.33531120636956,103.909405098626
5,TAMPINES WEST MRT STATION,1.34499919751448,103.938948503782
6,JALAN BESAR MRT STATION,1.30488989412929,103.855296125414
7,BENDEMEER MRT STATION,1.31385250562225,103.863074005937
8,BEDOK NORTH MRT STATION,1.33442257655151,103.917810526029
9,UPPER CHANGI MRT STATION,1.34084047406433,103.961043080709
10,GEYLANG BAHRU MRT STATION,1.32110911579532,103.871794271427
11,TAMPINES MRT STATION,1.35487057481792,103.943678182032
12,TAMPINES MRT STATION,1.35459633872811,103.942723496695
13,BEDOK RESERVOIR MRT STATION,1.33634776089978,103.932886822506
14,SENJA LRT STATION,1.3828754471752,103.762325766572
15,YISHUN MRT STATION,1.42963629191008,103.834865533461
16,YISHUN MRT STATION,1.42966559716462,103.835643654933
17,SERANGOON MRT STATION,1.35079019941389,103.872866695396
18,SERANGOON MRT STATION,1.34983373825613,103.873641321904
19,SERANGOON MRT STATION,1.3508202454304,103.872902116341
20,TAI SENG MRT STATION,1.33591408492645,103.887627437262
21,EUNOS MRT STATION,1.31952991880127,103.903215186978
22,SEMBAWANG MRT STATION,1.44915683716069,103.819758966004
23,HOUGANG MRT STATION,1.37194611655273,103.892972400972
24,CHANGI AIRPORT MRT STATION,1.3563414210048,103.989276642414
25,OUTRAM PARK MRT STATION,1.28232163095245,103.838117129674
26,OUTRAM PARK MRT STATION,1.2810220177189,103.838640195189
27,MAXWELL MRT STATION,1.28019152238094,103.842916305543
28,MAXWELL MRT STATION,1.28103425526259,103.844164413475
29,MAXWELL MRT STATION,1.28091943659091,103.844895459262
30,SHENTON WAY MRT STATION,1.27746205833565,103.851835707382
31,SHENTON WAY MRT STATION,1.2771436461189,103.851807978051
32,SHENTON WAY MRT STATION,1.27765594176983,103.851034086049
33,SHENTON WAY MRT STATION,1.27700305442423,103.850915094628
34,SHENTON WAY MRT STATION,1.27762958112669,103.850128771071
35,SHENTON WAY MRT STATION,1.27792920509497,103.849893223277
36,MARINA BAY MRT STATION,1.27735303297793,103.854470032954
37,MARINA BAY MRT STATION,1.27469326445441,103.854319501956
38,MARINA BAY MRT STATION,1.27363420910955,103.856488836263
39,MARINA BAY MRT STATION,1.27541636589719,103.85537174149
40,ORCHARD MRT STATION,1.30421797905404,103.830496723547
41,ORCHARD MRT STATION,1.30404570543486,103.831126574248
42,ORCHARD MRT STATION,1.30366551621641,103.831506861841
43,ORCHARD MRT STATION,1.30344571958931,103.83178613556
44,ORCHARD MRT STATION,1.30229921132352,103.832124829631
45,ORCHARD MRT STATION,1.30394471745993,103.832023815157
46,ORCHARD MRT STATION,1.30364769526593,103.832320915154
47,STEVENS MRT STATION,1.32093774341441,103.826322577145
48,STEVENS MRT STATION,1.32151990425561,103.825882869659
49,STEVENS MRT STATION,1.31995163510642,103.825728378177
50,STEVENS MRT STATION,1.31882889618825,103.826013593581
51,STEVENS MRT STATION,1.31947046099515,103.824991570643
52,HAVELOCK MRT STATION,1.28667674481792,103.833839753358
53,HAVELOCK MRT STATION,1.28694406698765,103.833495118232
54,HAVELOCK MRT STATION,1.28956096428231,103.833961901637
55,HAVELOCK MRT STATION,1.29016689416429,103.834003496172
56,CITY HALL MRT STATION,1.29345482595132,103.851802333809
57,SOO TECK LRT STATION,1.40501492486707,103.897029921817
58,SOO TECK LRT STATION,1.40524489949914,103.897408572121
59,DAMAI LRT STATION,1.40528461343374,103.908792226992
60,MARINA BAY MRT STATION,1.27615893131623,103.85500333792
61,GARDENS BY THE BAY MRT STATION,1.27830343996812,103.867154122142
62,GARDENS BY THE BAY MRT STATION,1.27882622333397,103.867968767276
63,GARDENS BY THE BAY MRT STATION,1.28037075595564,103.868586734111
64,MARINA SOUTH MRT STATION,1.27357480448593,103.861503878728
65,MARINA SOUTH MRT STATION,1.27385994951971,103.861777210111
66,MARINA SOUTH MRT STATION,1.27313520508679,103.862894304629
67,MARINA SOUTH MRT STATION,1.27551141461164,103.862668508874
68,ORCHARD BOULEVARD MRT STATION,1.30362395339039,103.823637898436
69,ORCHARD BOULEVARD MRT STATION,1.30246332428451,103.82389561212
70,GREAT WORLD MRT STATION,1.29655259456474,103.833405504371
71,GREAT WORLD MRT STATION,1.29332097607264,103.833904631248
72,GREAT WORLD MRT STATION,1.2928694999213,103.832627103189
73,GREAT WORLD MRT STATION,1.29318434464758,103.832841014649
74,GREAT WORLD MRT STATION,1.29381997655443,103.832734059176
75,GREAT WORLD MRT STATION,1.29602983278925,103.833037100577
76,HAVELOCK MRT STATION,1.28884356335354,103.833369520278
77,NAPIER MRT STATION,1.30693598792234,103.819483777776
78,NAPIER MRT STATION,1.3063449793684,103.819506621185
79,ORCHARD MRT STATION,1.30285761474898,103.830663098953
80,OASIS LRT STATION,1.40250713144757,103.912646133061
81,KADALOOR LRT STATION,1.39980926315018,103.916387458482
82,MERIDIAN LRT STATION,1.39668105013866,103.908965833187
83,MERIDIAN LRT STATION,1.39712168979943,103.908869496154
84,COVE LRT STATION,1.399124393509,103.905928735776
85,SOUTH VIEW LRT STATION,1.38031765699103,103.74510113108
86,HOLLAND VILLAGE MRT STATION,1.31106948365962,103.79576910839
87,ONE-NORTH MRT STATION,1.30035949347946,103.787927806168
